;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,1032,0.4667222,16.85152,-1.150144,0.3065168,-0.2645143,-0.9143739,1,0.75601,0.25842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1033,0.4638625,16.72799,-1.12808,0.306048,-0.2730264,-0.9120259,1,0.75601,0.39089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1034,0.4822436,16.73095,-1.122776,0.3080985,-0.2728505,-0.9113879,1,0.77442,0.38835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1035,0.5001985,16.73841,-1.11892,0.3100837,-0.2724414,-0.9108368,1,0.79212,0.38081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1036,0.517074,16.75011,-1.116655,0.3119361,-0.271786,-0.9104,1,0.80843,0.36857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1037,0.532239,16.76558,-1.116058,0.3135804,-0.2708649,-0.9101096,1,0.82273,0.35209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1038,0.5451234,16.78425,-1.117151,0.3148566,-0.2696949,-0.9100165,1,0.83447,0.33202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1039,0.5552149,16.80538,-1.119895,0.3156981,-0.2683192,-0.9101316,1,0.84319,0.30912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1040,0.5621139,16.82818,-1.124194,0.316102,-0.2668173,-0.910433,1,0.84856,0.28427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1041,0.5655203,16.85175,-1.129885,0.3161229,-0.2652792,-0.910875,1,0.85037,0.25842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1042,0.5652669,16.87518,-1.136765,0.3157817,-0.263762,-0.9114338,1,0.84856,0.23258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1043,0.5613295,16.8976,-1.144587,0.315098,-0.262307,-0.91209,1,0.84319,0.20773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1044,0.5538281,16.91812,-1.153051,0.3141853,-0.2609572,-0.9127918,1,0.83447,0.18483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1045,0.5430244,16.93595,-1.161845,0.3130836,-0.2597377,-0.913518,1,0.82273,0.16476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1046,0.529335,16.95042,-1.17063,0.3117815,-0.2586693,-0.9142661,1,0.80843,0.14828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1047,0.5132889,16.96097,-1.179068,0.3102992,-0.2578434,-0.9150034,1,0.79212,0.13604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1048,0.4955254,16.96719,-1.186826,0.3086525,-0.2573276,-0.9157053,1,0.77442,0.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1049,0.4767534,16.96885,-1.1936,0.3068972,-0.2571867,-0.9163346,1,0.75601,0.12596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1050,0.4577338,16.96587,-1.199113,0.3051204,-0.2574445,-0.9168553,1,0.7376,0.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1051,0.4392348,16.95838,-1.203144,0.3034098,-0.258075,-0.9172457,1,0.7199,0.13604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1052,0.4220001,16.94667,-1.205526,0.3018328,-0.2590124,-0.9175017,1,0.70358,0.14828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1053,0.4067074,16.93119,-1.206164,0.3004087,-0.260172,-0.917641,1,0.68928,0.16476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1054,0.393952,16.91253,-1.205029,0.2991904,-0.2614861,-0.9176656,1,0.67755,0.18483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1055,0.3842203,16.89141,-1.202168,0.2981299,-0.2629123,-0.9176033,1,0.66883,0.20773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1056,0.3778633,16.86864,-1.197693,0.2972666,-0.2644071,-0.9174538,1,0.66346,0.23258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1057,0.3750964,16.84509,-1.191795,0.2967606,-0.2659512,-0.9171712,1,0.66164,0.25843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1058,0.375988,16.82168,-1.184707,0.2966148,-0.2675047,-0.9167665,1,0.66346,0.28427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1059,0.3804677,16.79928,-1.176709,0.2968543,-0.2689766,-0.9162582,1,0.66883,0.30912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1060,0.3883329,16.77878,-1.168127,0.2975668,-0.2702999,-0.9156374,1,0.67755,0.33202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1061,0.3992618,16.76094,-1.159291,0.2987198,-0.2713844,-0.914941,1,0.68928,0.35209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1062,0.4128246,16.74647,-1.150548,0.3002548,-0.2721969,-0.9141967,1,0.70358,0.36857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1063,0.4285062,16.73591,-1.142229,0.3020592,-0.2727204,-0.9134462,1,0.7199,0.38081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1064,0.44573,16.72967,-1.134646,0.3040128,-0.2729814,-0.9127198,1,0.7376,0.38835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
