;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,1032,0.4384879,16.84498,-1.150461,0.3006661,-0.2617193,-0.9171166,1,0.75601,0.25842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1033,0.4448972,16.72311,-1.12442,0.3007921,-0.2691802,-0.9149132,1,0.75601,0.39089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1034,0.462964,16.7273,-1.119696,0.3026104,-0.2688868,-0.9143997,1,0.77442,0.38835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1035,0.4802535,16.73592,-1.116491,0.3043393,-0.2684427,-0.9139563,1,0.79212,0.38081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1036,0.4961393,16.74866,-1.114927,0.3059455,-0.2677915,-0.913611,1,0.80843,0.36857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1037,0.510042,16.76498,-1.11504,0.30734,-0.2669145,-0.9133995,1,0.82273,0.35209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1038,0.5214396,16.78429,-1.116828,0.3083898,-0.2658414,-0.9133587,1,0.83447,0.33202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1039,0.5298736,16.80587,-1.120235,0.3090145,-0.264618,-0.9135027,1,0.84319,0.30912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1040,0.5350021,16.82884,-1.125129,0.3092578,-0.2633188,-0.9137959,1,0.84856,0.28427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1041,0.5365828,16.85234,-1.131335,0.3091176,-0.2619987,-0.9142226,1,0.85037,0.25842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1042,0.534512,16.87545,-1.138627,0.3086059,-0.2607188,-0.9147611,1,0.84856,0.23258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1043,0.5288167,16.89729,-1.146744,0.3078659,-0.2595275,-0.9153492,1,0.84319,0.20773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,1044,0.5196813,16.91702,-1.155384,0.3069638,-0.2584437,-0.9159585,1,0.83447,0.18483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"左目",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
